e_columbia;Columbia;;;;;;;;;;;;;x
e_columbia_adj;Columbian;;;;;;;;;;;;;x
e_columbia_non;Columbia;;;;;;;;;;;;;x
e_columbia_non_adj;Columbian;;;;;;;;;;;;;x
republican_empire;Republican Empire of;;;;;;;;;;;;;x
dominion_of;Dominion of;;;;;;;;;;;;;x
k_adventist;The General Conference;;;;;;;;;;;;;x
k_adventist_adj;Adventist;;;;;;;;;;;;;x
PRESIDENT_COLUMB;President;;;;;;;;;;;;;x
PRESIDENT_COLUMB_FOA;Your Presidency;;;;;;;;;;;;;x
APOSTLE_BRIGHAMITE;Revelator;;;;;;;;;;;;;x
APOSTLE_BRIGHAMITE_FOA;Your Prophet, Seer, and Revelator;;;;;;;;;;;;;x
d_sufi;Inayati Order;;;;;;;;;;;;;x
d_sufi_adj;Inayati;;;;;;;;;;;;;x
GRAND_PATRIARCH;Grand Patriarch;;;;;;;;;;;;;x
GRAND_PATRIARCH_FOA;Your Holiness;;;;;;;;;;;;;x
