secret_religious_society_zenith;[GetReligiousCommunityName_zenith];[GetReligiousCommunityName_zenith];[GetReligiousCommunityName_zenith];;[GetReligiousCommunityName_zenith];;;;;;;;;x
secret_religious_society_zenith_desc;[GetReligiousSocietyDesc_zenith];[GetReligiousSocietyDesc_zenith];[GetReligiousSocietyDesc_zenith];;[GetReligiousSocietyDesc_zenith];;;;;;;;;x
secret_religious_society_zenith_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_zenith_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_zenith;The [zenith.GetName] Faithful;Fidèles [zenith.GetName]s;Die [zenith.GetName]en Gläubigen;;Creyentes [zenith.GetName]s;;;;;;;;;x
secretly_convert_to_zenith_holy_site;Secretly Convert to [zenith.GetName];Adopter en secret la foi [zenith.GetName];Heimlich zum [zenith.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [zenith.GetName];;;;;;;;;x
secretly_convert_to_zenith_holy_site_desc;The §Y[zenith.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[zenith.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[zenith.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[zenith.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_witness;[GetReligiousCommunityName_witness];[GetReligiousCommunityName_witness];[GetReligiousCommunityName_witness];;[GetReligiousCommunityName_witness];;;;;;;;;x
secret_religious_society_witness_desc;[GetReligiousSocietyDesc_witness];[GetReligiousSocietyDesc_witness];[GetReligiousSocietyDesc_witness];;[GetReligiousSocietyDesc_witness];;;;;;;;;x
secret_religious_society_witness_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_witness_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_witness;The [witness.GetName] Faithful;Fidèles [witness.GetName]s;Die [witness.GetName]en Gläubigen;;Creyentes [witness.GetName]s;;;;;;;;;x
secretly_convert_to_witness_holy_site;Secretly Convert to [witness.GetName];Adopter en secret la foi [witness.GetName];Heimlich zum [witness.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [witness.GetName];;;;;;;;;x
secretly_convert_to_witness_holy_site_desc;The §Y[witness.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[witness.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[witness.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[witness.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_watcher;[GetReligiousCommunityName_watcher];[GetReligiousCommunityName_watcher];[GetReligiousCommunityName_watcher];;[GetReligiousCommunityName_watcher];;;;;;;;;x
secret_religious_society_watcher_desc;[GetReligiousSocietyDesc_watcher];[GetReligiousSocietyDesc_watcher];[GetReligiousSocietyDesc_watcher];;[GetReligiousSocietyDesc_watcher];;;;;;;;;x
secret_religious_society_watcher_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_watcher_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
alt_start_community_name_watcher;The [watcher.GetName] Faithful;Fidèles [watcher.GetName]s;Die [watcher.GetName]en Gläubigen;;Creyentes [watcher.GetName]s;;;;;;;;;x
secretly_convert_to_watcher_holy_site;Secretly Convert to [watcher.GetName];Adopter en secret la foi [watcher.GetName];Heimlich zum [watcher.GetName] Glauben konvertieren;;Convertirse en secreto a la religión [watcher.GetName];;;;;;;;;x
secretly_convert_to_watcher_holy_site_desc;The §Y[watcher.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Y[watcher.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[watcher.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[watcher.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_voodun;[GetReligiousCommunityName_voodun];[GetReligiousCommunityName_voodun];[GetReligiousCommunityName_voodun];;[GetReligiousCommunityName_voodun];;;;;;;;;x
secret_religious_society_voodun_desc;[GetReligiousSocietyDesc_voodun];[GetReligiousSocietyDesc_voodun];[GetReligiousSocietyDesc_voodun];;[GetReligiousSocietyDesc_voodun];;;;;;;;;x
